"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","Barcode__c","Brand__c","Calories__c","Carbohydrates__c","Fat__c","Protein__c"
"a097R000021Eh6rQAC","0057R00000ArjIlQAJ","0","Kinder Chocolate","2022-10-11 10:39:53","0057R00000ArjIlQAJ","2022-10-11 10:41:43","0057R00000ArjIlQAJ","2022-10-11 10:41:43","40084701","","566","53.5","35","8.7"
"a097R000021Eh7BQAS","0057R00000ArjIlQAJ","0","Cucumber","2022-10-11 11:13:53","0057R00000ArjIlQAJ","2022-10-11 11:13:53","0057R00000ArjIlQAJ","2022-10-11 11:13:53","","","13","2.9","0.1","0.7"
"a097R000021Eh7GQAS","0057R00000ArjIlQAJ","0","Salad","2022-10-11 11:14:21","0057R00000ArjIlQAJ","2022-10-11 11:14:21","0057R00000ArjIlQAJ","2022-10-11 11:14:21","","","14","2.9","0.2","1.4"
"a097R000021Eh7LQAS","0057R00000ArjIlQAJ","0","Tomato","2022-10-11 11:14:56","0057R00000ArjIlQAJ","2022-10-11 11:14:56","0057R00000ArjIlQAJ","2022-10-11 11:14:56","","","15","3.6","0.2","0.9"
